UID,Declaration_date,Ceasefire_start,Ceasefire_termination,Country_entity,Region_entity,UCDP_code,Longitude_central,Latitude_central,Declaration_type,Reciprocated,Actors,Actors_type,PDF,Headline,Information,Past_agreements,Past_ceasefires,Sources,Media,Media_credit,Media_caption
C17-2,2020-04-30,,,Thailand,"Patani, Southern Thailand",423,100.5014,13.7540,Update to ceasefire,0,National Revolutionary Front/Barisan Revolusi Nasional Melayu Patan (BRN),Non-state,,National Revolutionary Front resumes military operations,"The National Revolutionary Front (BRN) announced a resumption of its operations After Thai security forces killed three BRN rebels on 30/04/2020 during a raid in in Nong Chik, Pattani. On 01/05/2020, the BRN released a written statement condemning the government's actions, whilst also publicly renewing its call for security forces to join its unilateral ceasefire. However, BRN fighters on the ground retaliated on 03/05/2020, shooting dead one paramilitary ranger and injuring another in Pattani province.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=134&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://www.lowyinstitute.org/the-interpreter/thailand-killings-insurgents-ends-southern-separatist-ceasefire
  
https://www.benarnews.org/english/news/thai/new-attacks-05042020183411.html
 
https://www.crisisgroup.org/crisiswatch",,,
C18-1,2020-04-08,2020-04-08,2020-04-23,Yemen,Nationwide,230,44.2067,15.3547,Unilateral ceasefire,0,Internationally Recognized Government of Yemen,State,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Yemen-Joint-Forces-Command-Ceasefire-Text.pdf,Internationally Recognized Government of Yemen declares ceasefires,"On 8 April 2020, the Saudi-backed, internationally recognized Government of Yemen declared a unilateral ceasefire and stated that it wanted to support UN efforts for a political solution and help stop coronavirus spread. Saudi Arabia's state-run news agency SPA reported that the ceasefire was intended to help prevent a coronavirus outbreak in Yemen, while also allowing for a de-escalation in the fighting. Furthermore, it was aimed at giving the Houthis an opportunity to join UN-sponsored talks on a settlement to the conflict thousands of people. However, shortly afterwards it was reported that parties continued fighting despite the unilateral ceasefire, including Saudi airstrikes and Houthi-led advances and expansions in the North, which threatened one of the last government aligned strong holds, Marib.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2071816#2071816
 
 https://www.aljazeera.com/news/2020/05/orders-staff-cease-work-yemen-houthi-held-areas-200510173512730.html
 
 https://www.aljazeera.com/news/2020/04/saudi-uae-coalition-declares-2-week-unilateral-ceasefire-yemen-200408185013981.html",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Yemen-The-Coalition-Ceasefire-Text.png,,
C18-2,2020-04-24,2020-04-24,2020-05-21,Yemen,Nationwide,230,44.2067,15.3547,Update to ceasefire,0,Internationally Recognized Government of Yemen,State,,Internationally Recognized Government of Yemen extends ceasefire,"On 24 April 2020, the Saudi-backed, internationally recognized Government of Yemen announced a one-month extension of the ceasefire, reiterating that ""the chance is still there for concerted efforts to reach a comprehensive and permanent ceasefire in Yemen"". However, fighting between pro-government forces and Houthis had intensified in Northern Yemen despite the ceasefire and its extension, and there was fear that violence would escalate unless a nationwide ceasefire was agreed.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.globalsecurity.org/military/library/news/2020/04/mil-200424-spa01.htm

https://reliefweb.int/report/yemen/coalition-restore-legitimacy-yemen-announces-one-month-extension-comprehensive

https://www.crisisgroup.org/crisiswatch",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Yemen-destroyed-car.jpg,"by Ibrahem Qasim, licensed under CC BY-SA 4.0",
C18-3,2020-06-22,,,Yemen,Abyan province,230,44.2067,15.3547,Bilateral ceasefire,Yes,"Southern Transitional Council (STC), Internationally Recognized Government of Yemen","State,Non-state",,Bilateral ceasefire between STC and Yemeni Government agreed,"The Southern Transitional Council (STC) and the internationally recognized government of Yemen, agreed on a bilatreal ceasefire on 22/06/2020. The ceasefire applies to the Abyan province, which is a hotspot for fighting that the STC has partial control over, and also includes an agreement on the de-escalation in other regions and the resumption of peace talks between the two parties. The ceasefire aims to provide a basis for the implementation of the 2019 Riyadh peace agreement. In April, the STC had unilaterally declared self-rule in the southern region of Yemen, which had intensified existing tensions.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.aljazeera.com/news/2020/06/yemen-gov-southern-separatists-agree-ceasefire-arabia-200622152037838.html

https://gulfnews.com/world/gulf/yemen/yemens-government-southern-council-agree-on-ceasefire-to-start-talks---saudi-ambassador-to-yemen-1.1592841538433",https://www.politicalsettlements.org/wp-content/uploads/2019/11/YemenKateNevCCBY-NC2-e1582544532908.jpg,Image by kate nev is licensed under CC BY-NC 2.0,
C18-4,2020-06-24,,,Yemen,Abyan province,230,44.2067,15.3547,Update to ceasefire,0,Internationally Recognized Government of Yemen,State,,Yemeni Government deploys ceasefire observer troops,"On 24/06/2020, the Saudi-backed, internationally recognized Government of Yemen announced that it had deployed troops to observe and monitor the bilateral ceasefire from 22/06/2020 between the Yemeni government and the Southern Transtional Council (STC).",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.thenational.ae/world/mena/coalition-to-deploy-ceasefire-observers-to-southern-yemen-1.1038932,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Yemen-map-1-6-20.png,"by TheMapLurker, licensed under CC BY-SA 4.0 ","Yemen Warmap: Government (red), STC (yellow), Revolutionary Committee (green)"
C18-5,2020-06-25,,,Yemen,Abyan province,230,44.2067,15.3547,Update to ceasefire,0,"Southern Transitional Council (STC), Internationally Recognized Government of Yemen","State,Non-state",,Fighting in Southern Yemen continues despite ceasefire,"Despite a bilateral ceasefire between the internationally recognized Government of Yemen and the Southern Transtional Council (STC) that was declared on 22/06/2020, fighting between the two parties continued. Reportedly, on 25/06/2020 at least 54 people died as a result of these violent clashes.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=148&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.aljazeera.com/news/2020/06/yemen-president-urges-separatists-stop-bloodshed-200628074457073.html

https://www.thisismoney.co.uk/wires/ap/article-8461773/Clashes-Yemens-govt-separatists-mar-ceasefire.html

",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Yemen-air-strikes.jpg,"by Ibrahem Qasim, licensed under CC BY-SA 4.0",
C19-1,2020-04-16,2020-04-16,,Senegal,Casamance region,375,-17.4441,14.6937,Related event,0,Movement of Democratic Forces in the Casamance,Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Senegal-MFDC-Declaration.pdf,Movement of Democratic Forces in the Casamance calls on combatants to refrain from initiating attacks,"The North-western, South-western and South-eastern fronts of the Movement of the Democratic Forces of Casamance (MFDC) have committed to fully cooperate with the Senegalese health authorities as well as humanitarian organisations to combat the COVID-19 pandemic.
 
In a Statement of solidarity of 16/04/2020, the MFDC also called on their combatants not to initiate military operations, to comply with the Geneva conventions, to facilitate emergency operations as well as to comply with and enforce the guidelines of health authorities.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=118&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://www.hdcentre.org/updates/the-mouvement-des-forces-democratiques-de-la-casamance-mfdc-stands-in-solidarity-with-efforts-to-combat-covid-19-pandemic/
https://www.hdcentre.org/wp-content/uploads/2020/04/Statement-of-Solidarity-MFDC-COVID-19.pdf",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Senegal-MFDC-Declaration.png,,
C20-1,2020-03-21,2020-03-21,,Libya,Nationwide,11346,13.1875,32.8752,Unilateral ceasefire,Yes,Government of National Accord (GNA),State,,Government of National Accord endorses humanitarian ceasefire,"The UN-supported interim government of Libya, the Government of National Accord (GNA) under Prime Minister Fayez Sarraj, “endorsed an immediate humanitarian cessation of hostilities to allow local authorities to come together in response to the unprecedented public health challenge posed by COVID-19.""",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://hub.c-r.org/system/files/node/external_news/field_downloadable_files/Rustad%20et%20al%20-%20Are%20the%20Coronavirus%20Ceasefires%20Working%2C%20Conflict%20Trends%204-2020.pdf
 
 https://english.aawsat.com/home/article/2196366/humanitarian-ceasefire-collapses-libyas-tripoli
 
 https://hub.c-r.org/system/files/node/external_news/field_downloadable_files/Rustad%20et%20al%20-%20Are%20the%20Coronavirus%20Ceasefires%20Working%2C%20Conflict%20Trends%204-2020.pdf
 
 https://news.un.org/en/story/2020/03/1059942",,,
C20-2,2020-03-21,2020-03-21,,Libya,Nationwide,11346,13.1875,32.8752,Unilateral ceasefire,Yes,Libyan National Army (LNA)/ al-jaysh al-waṭaniyy al-Lībii,Non-state,,Libyan National Army commits to ceasefire,"Following the announcement of the internationally recognised Government of National Accord's (GNA), Major General Ahmed Mismari of the Libyan National Army (LNA), the GNA's subordinate armed forces, declared that the LNA would also commit to a ceasefire.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://hub.c-r.org/system/files/node/external_news/field_downloadable_files/Rustad%20et%20al%20-%20Are%20the%20Coronavirus%20Ceasefires%20Working%2C%20Conflict%20Trends%204-2020.pdf
 
 https://english.aawsat.com/home/article/2196366/humanitarian-ceasefire-collapses-libyas-tripoli
 
 https://hub.c-r.org/system/files/node/external_news/field_downloadable_files/Rustad%20et%20al%20-%20Are%20the%20Coronavirus%20Ceasefires%20Working%2C%20Conflict%20Trends%204-2020.pdf
 
 https://news.un.org/en/story/2020/03/1059942",,,
C20-3,2020-03-24,,,Libya,Nationwide,11346,13.1875,32.8752,Related event,0,A thousand leading figures from across Libya,Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Libya-Call-for-Unity-Text.pdf,Civil Actors call for unity,"On 24 March 2020, a thousand leading figures in Libya signed a Call for Unity that urges Libyan actors and institutions to set aside anything other than truth and reason, and to stand united in the fights against COVID-19. Signatories included ome of Libya’s leading doctors, health professionals, mayors of towns and cities, parliamentarians and other political and media figures.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.hdcentre.org/updates/libyans-call-for-unity-amidst-the-covid-19-pandemic/,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Libya-Call-for-Unity.png,,
C20-4,2020-06-06,,,Libya,Nationwide,11346,13.1875,32.8752,Unilateral ceasefire,,Libyan National Army (LNA)/ al-jaysh al-waṭaniyy al-Lībii,Non-state,,Libyan National Army declares unilateral ceasefire,"On 06/06/2020, Libyan National Army (LNA) commander Khalifa Haftar and the Egyptian president Abdel-Fattah el-Sisi presented the Cairo Declaration which  […] calls for respecting all international efforts and initiatives by declaring a ceasefire from 6pm [16:00 GMT] Monday, June 8, 2020"".",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.aljazeera.com/news/2020/06/egypt-el-sisi-haftar-backs-libya-ceasefire-200606133939141.html https://www.theguardian.com/world/2020/jun/06/egyptian-president-announces-plan-for-ceasefire-in-libya,https://www.politicalsettlements.org/wp-content/uploads/2020/07/libya-map-11-6-20.png,"by Ali Zifan,  licensed under CC BY-SA 4.0","June, 2020: Government of National Accord (green), Libyan National Army (red)"
C20-5,2020-06-08,2020-06-08,,Libya,Nationwide,11346,13.1875,32.8752,Unilateral ceasefire,,Libyan National Army (LNA)/ al-jaysh al-waṭaniyy al-Lībii,Non-state,,Libyan National Army ceasefire commences,The unilateral ceasefire of the Libyan National Army (LNA) commences. It was declared by its commander Khalifa Haftar  on 06/06/2020.,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=77&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.aljazeera.com/news/2020/06/egypt-el-sisi-haftar-backs-libya-ceasefire-200606133939141.html

https://www.theguardian.com/world/2020/jun/06/egyptian-president-announces-plan-for-ceasefire-in-libya",,,
C21-1,2020-04-18,,,Central African Republic,North-central Central African Republic,416,18.5550,4.3612,Related event,Yes,Democratic Front of the Central African People/ Front démocratique du peuple centrafricain (FDPC),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/CAR-FDPC-Declaration.pdf,Democratic Front of the Central African People recommits to existing peace deal,"The Democratic Front of the Central African People (FDPC) committed to fully cooperate with health authorities, promote preventative measures against the virus and ensure the safety of humanitarian organisations.
The FDPC and the rebel group 'Return, Reclamation, Rehabilitation' (3R) are both signatories to the Political Agreement for Peace and Reconciliation (APPR) that officially ended the civil war in the Central African Republic on 05/02/2019. Their COVID-19 statements reaffirmed their commitment to peace during this turbulent period.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=26&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=26&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.hdcentre.org/updates/two-armed-groups-in-the-central-african-republic-the-fpdc-and-the-3r-have-called-for-an-end-to-violence-in-solidarity-with-efforts-to-combat-covid-19/

https://www.hdcentre.org/wp-content/uploads/2020/05/D%C3%A9claration-solidarit%C3%A9-Covid-19_FDPC-1.pdf",https://www.politicalsettlements.org/wp-content/uploads/2020/06/CAR-FDPC-Declaration.png,,
C21-2,2020-04-18,,,Central African Republic,North-western Central African Republic,416,18.5550,4.3612,Related event,Yes,"Return, Reclamation, Rehabilitation/ Retour, Réclamation, Réhabilitation (3R)",Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/CAR-3R-Declaration.pdf,Rebel group 3R commits to promoting safety of humanitarian organisations,"3R committed to fully cooperate with health authorities, promote preventative measures against the virus and ensure the safety of humanitarian organisations.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=26&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=26&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.hdcentre.org/updates/two-armed-groups-in-the-central-african-republic-the-fpdc-and-the-3r-have-called-for-an-end-to-violence-in-solidarity-with-efforts-to-combat-covid-19/

https://www.hdcentre.org/wp-content/uploads/2020/05/D%C3%A9claration-solidarit%C3%A9-Covid-19_3R.pdf",https://www.politicalsettlements.org/wp-content/uploads/2020/06/CAR-3R-Declaration.png,,
C21-3,2020-05-04,2020-05-04,,Central African Republic,Birao,416,18.5550,4.3612,Related event,Yes,Movement of Central African Liberators for Justice (MLCJ)/ Le Mouvement des libérateurs centrafricains pour la justice,Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/CAR-MLCJ-Declaration.pdf,Movement of Central African Liberators for Justice guarantees safety of humanitarian organisations,"In a press release dated 04/05/2020, the Movement of Central African Liberators for Justice (MLCJ) pledged to promote pandemic prevention measures, fully cooperate with health authorities, as well as guarantee the safety of humanitarian organisations. MLCJ’s declaration follows those of the rebel group 'Retour, Réclamation, Réhabilitation' (3R) and the Democratic Front of the Central African People (FDPC). While technically a ceasefire had been called on 05/02/2019, this statement in-essence confirmed an ongoing commitment in the context of COVID-19.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=26&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=26&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.hdcentre.org/updates/the-movement-of-central-african-liberators-for-justice-mlcj-in-turn-declares-its-solidarity-in-the-fight-against-covid-19/
https://www.hdcentre.org/wp-content/uploads/2020/05/D%C3%A9claration-solidarit%C3%A9-Covid-19_MLCJ.pdf",https://www.politicalsettlements.org/wp-content/uploads/2020/06/CAR-MLCJ-Declaration.png,,
C22-1,2020-03-24,2020-03-24,,Syria,Northeast Syria,299,36.2913,33.5102,Unilateral ceasefire,0,Syrian Democratic Forces (SDF)/Quwwāt Sūriyā al-Dīmuqrāṭīya/ Hêzên Sûriya Demokratîk,Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Syria-SDF-Ceasefire-Text.pdf,Syrian Democratic Forces announce humanitarian truce,"The General Command of the Syrian Democratic Forces (SDF) released a statement announcing the suspension of all SDF military activities other than self-defence in north-eastern Syria to allow warring parties to focus on their response to COVID-19 on 24/03/2020. SDF leadership urged all actors in Syria to refrain from military actions and make an immediate commitment to a humanitarian truce, “we hope that this humanitarian truce will help to open the door for dialogue and political solution and to put an end to the war in the world and Syria”. The SDF warned that a renewal of hostilities would increase the spread of the virus and severely affect Syria's deteriorated health infrastructure, already underequipped to handle the crisis.",https://www.peaceagreements.org/search?SearchForm%5Bregion%5D=&SearchForm%5Bcountry_entity%5D=131&SearchForm%5Bname%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=131&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.kurdistan24.net/en/news/36baafd8-e08b-4e7f-bedc-3acb28c5ba90

https://www.kurdistan24.net/en/news/49ff1cba-660c-4891-aa04-7bb417fedc57

https://www.un.org/sg/en/content/sg/note-correspondents/2020-03-26/note-correspondents-%E2%80%93-response-questions-the-humanitarian-truce-announced-forces-northeast-syria

https://www.kurdistan24.net/en/news/6fdaf484-73da-4cc3-ab1f-ada83e8dadad

http://sdf-press.com/en/2020/03/a-statement-to-the-public-opinion-5/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Syria-SDF-Ceasefire-Text.png,,
C23-1,2020-05-23,,,Afghanistan,Nationwide,333,69.1723,34.5281,Unilateral ceasefire,Yes,Taliban,Non-state,,Taliban declare unilateral ceasefire during Eid,"On 23/05/2020 the Taliban unilaterally declared a three-day ceasefire for the period of Eid, starting on 24/05/2020.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=5&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://www.aljazeera.com/news/2020/05/afghan-taliban-announces-day-eid-ceasefire-200523190953783.html

https://www.afghannow.net/world/2020/05/27/۹۰۰-طالب-بندیان-خوشې-شول-افغانان-هیله-ل/

https://www.reuters.com/article/us-afghanistan-taliban-ceasefire/afghan-government-says-ceasefire-still-in-place-even-as-skirmishes-with-taliban-resume-idUSKBN2341MX",https://www.politicalsettlements.org/wp-content/uploads/2015/07/5.2.b.jpg,,
